fips,Total,Cash,0-100,100-150,150-200,200-250,250-300,300-350,350-400,400-450,450-500,500-550,550-600,600-650,650-700,700-750,750-800,800-900,900-1000,1000-1250,1250-1500,1500-2000,2000+,No Cash,Median,Aggregate
31167,2262962,38961,24983,18180,324,90969,31306,163082,1859578,4570,373,1063,861,806,658,618,4005,5153,5589,1432,573,1719,5711,2448,254350,207459
31003,282285,775,3067,17,18,3421,1014,5300,253604,1008,125,176,108,111,83,277,4057,1375,2018,280,60,1657,1646,2088,30264,28353
31175,172101,48,34,20,5,1211,5,3602,160000,635,76,80,71,62,56,154,2044,667,595,140,45,626,708,1217,18797,17889
31119,2232169,39665,26667,18166,317,93464,31915,165385,1821380,4358,355,1076,833,768,674,526,3271,5270,5925,1358,580,2185,5807,2224,250815,203178
31139,2206140,39680,27731,19241,296,70136,30606,127564,1853585,4491,388,973,840,735,601,565,3948,5430,6589,1878,489,2591,5986,1797,246456,206779
31051,632112,14629,7325,1315,99,21829,3525,40622,522520,1498,175,327,232,201,234,252,3910,2966,3528,395,163,2067,2059,2241,70312,58331
31089,335321,121,776,422,32,927,702,4202,315200,1214,158,220,197,126,83,333,4140,1225,1310,569,43,355,1623,1343,36590,35243
31149,86239,28,1315,712,5,0,5,0,80400,343,53,37,35,33,31,97,1143,362,650,476,32,18,376,88,9278,8992
31027,262893,111,1042,34,16,3409,7,2300,243600,811,111,141,113,77,58,214,4551,835,1329,195,25,1592,867,1455,28429,27209
31107,431812,138,22707,39,1432,3340,4044,4550,378420,1464,184,243,220,167,127,389,3748,1486,1989,385,804,1634,2497,1805,46769,42308
31015,26936,5,2,0,0,0,0,0,24900,129,28,24,14,8,4,38,1289,135,99,40,6,16,147,52,2907,2787
31071,148115,38,32,18,3,9,5,2400,141200,554,65,74,64,50,50,125,896,583,521,111,30,41,630,616,16316,15790
31103,107402,35,14,17,15,8,2,2302,101202,368,42,80,40,48,18,90,1561,373,335,85,21,29,396,321,11925,11311
31115,74467,19,9,6,5,0,0,0,71100,343,45,33,28,33,27,114,1452,362,270,112,19,28,383,79,8056,7957
31079,5343698,33143,11636,66498,3229,361572,64917,554540,4168492,10008,897,2887,1725,1432,2192,1390,6386,11735,13092,4050,1927,4282,12342,5326,603095,465029
31093,1391350,8083,1254,9161,294,76199,7428,98476,1163152,2917,284,564,513,403,657,452,4721,3459,3654,1244,372,1585,3784,2694,153551,129793
31019,1567368,685,4406,8112,390,49166,9468,73993,1391580,3229,272,716,458,535,460,453,5631,3671,3725,1818,242,1544,5084,1730,173749,155215
31009,15718,5,2,0,2,0,0,0,14200,87,8,16,8,4,2,44,1053,87,47,44,0,6,93,10,1692,1590
31041,1613808,7223,17802,8211,328,178562,20691,325698,1016746,3424,454,1100,658,484,817,905,8594,3756,5532,1832,679,2698,4527,3087,190799,113583
31163,141018,58,32,26,17,7,3600,0,131000,484,45,84,67,51,24,117,2572,500,419,107,43,27,1652,86,15235,14641
31017,103492,38,12,19,15,8,2,2302,97502,348,38,85,41,44,14,91,1452,355,318,77,15,28,380,308,11503,10895
31113,45831,21,910,4,8,0,5,0,42400,186,28,24,19,10,13,74,1070,188,560,72,4,5,200,30,4928,4742
